member_full,last_name,first_name,party,state,vote_cast,lis_member_id,members_Id,vote_number
Alexander (R-TN),Alexander,Lamar,R,TN,Yea,S289,0,277
Ayotte (R-NH),Ayotte,Kelly,R,NH,Yea,S340,0,277
Baldwin (D-WI),Baldwin,Tammy,D,WI,Nay,S354,0,277
Barrasso (R-WY),Barrasso,John,R,WY,Yea,S317,0,277
Bennet (D-CO),Bennet,Michael,D,CO,Yea,S330,0,277
Blumenthal (D-CT),Blumenthal,Richard,D,CT,Yea,S341,0,277
Blunt (R-MO),Blunt,Roy,R,MO,Yea,S342,0,277
Booker (D-NJ),Booker,Cory,D,NJ,Nay,S370,0,277
Boozman (R-AR),Boozman,John,R,AR,Yea,S343,0,277
Boxer (D-CA),Boxer,Barbara,D,CA,Nay,S223,0,277
Brown (D-OH),Brown,Sherrod,D,OH,Nay,S307,0,277
Burr (R-NC),Burr,Richard,R,NC,Yea,S300,0,277
Cantwell (D-WA),Cantwell,Maria,D,WA,Yea,S275,0,277
Capito (R-WV),Capito,Shelley,R,WV,Yea,S372,0,277
Cardin (D-MD),Cardin,Ben,D,MD,Nay,S308,0,277
Carper (D-DE),Carper,Thomas,D,DE,Nay,S277,0,277
Casey (D-PA),Casey,Bob,D,PA,Yea,S309,0,277
Cassidy (R-LA),Cassidy,Bill,R,LA,Yea,S373,0,277
Coats (R-IN),Coats,Dan,R,IN,Yea,S212,0,277
Cochran (R-MS),Cochran,Thad,R,MS,Yea,S136,0,277
Collins (R-ME),Collins,Susan,R,ME,Yea,S252,0,277
Coons (D-DE),Coons,Christopher,D,DE,Nay,S337,0,277
Corker (R-TN),Corker,Bob,R,TN,Yea,S310,0,277
Cornyn (R-TX),Cornyn,John,R,TX,Yea,S287,0,277
Cotton (R-AR),Cotton,Tom,R,AR,Yea,S374,0,277
Crapo (R-ID),Crapo,Mike,R,ID,Yea,S266,0,277
Cruz (R-TX),Cruz,Ted,R,TX,Nay,S355,0,277
Daines (R-MT),Daines,Steve,R,MT,Yea,S375,0,277
Donnelly (D-IN),Donnelly,Joe,D,IN,Yea,S356,0,277
Durbin (D-IL),Durbin,Richard,D,IL,Nay,S253,0,277
Enzi (R-WY),Enzi,Mike,R,WY,Yea,S254,0,277
Ernst (R-IA),Ernst,Joni,R,IA,Yea,S376,0,277
Feinstein (D-CA),Feinstein,Dianne,D,CA,Yea,S221,0,277
Fischer (R-NE),Fischer,Deb,R,NE,Yea,S357,0,277
Flake (R-AZ),Flake,Jeff,R,AZ,Yea,S358,0,277
Franken (D-MN),Franken,Al,D,MN,Nay,S332,0,277
Gardner (R-CO),Gardner,Cory,R,CO,Yea,S377,0,277
Gillibrand (D-NY),Gillibrand,Kirsten,D,NY,Nay,S331,0,277
Graham (R-SC),Graham,Lindsey,R,SC,Not Voting,S293,0,277
Grassley (R-IA),Grassley,Chuck,R,IA,Yea,S153,0,277
Hatch (R-UT),Hatch,Orrin,R,UT,Yea,S118,0,277
Heinrich (D-NM),Heinrich,Martin,D,NM,Yea,S359,0,277
Heitkamp (D-ND),Heitkamp,Heidi,D,ND,Yea,S360,0,277
Heller (R-NV),Heller,Dean,R,NV,Yea,S352,0,277
Hirono (D-HI),Hirono,Mazie,D,HI,Nay,S361,0,277
Hoeven (R-ND),Hoeven,John,R,ND,Yea,S344,0,277
Inhofe (R-OK),Inhofe,Jim,R,OK,Yea,S236,0,277
Isakson (R-GA),Isakson,Johnny,R,GA,Yea,S305,0,277
Johnson (R-WI),Johnson,Ron,R,WI,Yea,S345,0,277
Kaine (D-VA),Kaine,Timothy,D,VA,Yea,S362,0,277
King (I-ME),King,Angus,I,ME,Yea,S363,0,277
Kirk (R-IL),Kirk,Mark,R,IL,Yea,S339,0,277
Klobuchar (D-MN),Klobuchar,Amy,D,MN,Yea,S311,0,277
Lankford (R-OK),Lankford,James,R,OK,Yea,S378,0,277
Leahy (D-VT),Leahy,Patrick,D,VT,Nay,S057,0,277
